,202,...2,...3,...4,codes,category,scheme,pre1,pre2,pre3,phrase,feature,subst,ar,regex,repl,regexcor,test
161,154,154,154,NA,#9nst w.o.#,1,1,%,N,WO,nonstandard,word order,%NWO: nonstandard word order,50,(9w o\.)|(9w\.o\.)|(9nst w o)|(9nst w o)|(9nst w o)|(#9nst w\.o\.#)|(#9nst w o#)|(#9nst w o\.#)|(#9nst w o\. #),%#%,(9w o\.)|(9w\.o\.)|(9nst w o)|(9nst w o)|(9nst w o)|(#9nst w\.o\.#)|(#9nst w o#)|(#9nst w o\.#)|(#9nst w o\. #),test3
162,155,155,155,NA,#9nst w o#,1,1,%,N,WO,nonstandard,word order,%NWO: nonstandard word order,50,(9w o\.)|(9w\.o\.)|(9nst w o)|(9nst w o)|(9nst w o)|(#9nst w\.o\.#)|(#9nst w o#)|(#9nst w o\.#)|(#9nst w o\. #),%#%,(9w o\.)|(9w\.o\.)|(9nst w o)|(9nst w o)|(9nst w o)|(#9nst w\.o\.#)|(#9nst w o#)|(#9nst w o\.#)|(#9nst w o\. #),test3
163,156,156,156,NA,#9nst w o.#,1,1,%,N,WO,nonstandard,word order,%NWO: nonstandard word order,50,(9w o\.)|(9w\.o\.)|(9nst w o)|(9nst w o)|(9nst w o)|(#9nst w\.o\.#)|(#9nst w o#)|(#9nst w o\.#)|(#9nst w o\. #),%#%,(9w o\.)|(9w\.o\.)|(9nst w o)|(9nst w o)|(9nst w o)|(#9nst w\.o\.#)|(#9nst w o#)|(#9nst w o\.#)|(#9nst w o\. #),test3
164,157,157,157,NA,#9nst w o. #,1,1,%,N,WO,nonstandard,word order,%NWO: nonstandard word order,50,(9w o\.)|(9w\.o\.)|(9nst w o)|(9nst w o)|(9nst w o)|(#9nst w\.o\.#)|(#9nst w o#)|(#9nst w o\.#)|(#9nst w o\. #),%#%,(9w o\.)|(9w\.o\.)|(9nst w o)|(9nst w o)|(9nst w o)|(#9nst w\.o\.#)|(#9nst w o#)|(#9nst w o\.#)|(#9nst w o\. #),test3
165,200,NA,NA,NA,#90 aux?#,2,1,%,0,AU,zero,auxiliary,%0AU: zero auxiliary,NA,NA,%#%,NA,NA
166,201,NA,NA,NA,STATIC(a|b|c|d|e|f),5,NA,NA,NA,NA,NA,NA,NA,NA,STATIC(a|b|c|d|e|f),STATIC-\\1,NA,NA
167,201,NA,NA,head,(but the some of the interviewer’s utterances),6,NA,NA,NA,NA,NA,NA,NA,NA,(but the some of the interviewer’s utterances),but the interviewer’s utterances,NA,NA
168,201,NA,NA,head,(mostly),6,NA,NA,NA,NA,NA,NA,NA,NA,(\\(mostly\\)),roughly,NA,NA
169,201,NA,NA,trans,(family_language-with_parents-with),5,NA,NA,NA,NA,NA,NA,NA,NA,(\\(family_language-with_parents-with\\)),(family_language-with_parents-with_siblings),NA,NA
170,201,NA,NA,head,"., see the Elicitation documentation files.",6,NA,NA,NA,NA,NA,NA,NA,NA,"\\., see the Elicitation documentation files\\.",; see reference @Elicitation files.,NA,NA
171,201,NA,NA,trans,%WORD,5,NA,NA,NA,NA,NA,NA,NA,NA, %([A-Za-z]),\t#%#\\1,NA,NA
172,201,NA,NA,head,TUR/ELL,6,NA,NA,NA,NA,NA,NA,NA,NA,(@ID:.+)(_TUR|_ELL)_,\\1_,NA,NA
173,201,NA,global,head,@.ctivities,6,NA,NA,NA,NA,NA,NA,NA,NA,^@.ctivities.+,"@Activities: background info, directed conversation, personal narratives",NA,NA
174,201,NA,NA,trans,"tab after tier label, speaker",5,NA,NA,NA,NA,NA,NA,NA,NA,([\\*]...:) ,\\1\t,NA,NA
175,201,NA,NA,NA,"tab after tier label, annotation",5,NA,NA,NA,NA,NA,NA,NA,NA,([%]...:) ,\\1\t,NA,NA
176,201,NA,NA,NA,discrete coding in header,7,NA,NA,NA,NA,NA,NA,NA,NA,([\\*])([A-Z]{3})(:?),<\2\3>,NA,NA
177,201,NA,NA,trans,missing space in tier start,5,NA,NA,NA,NA,NA,NA,NA,NA,([\\*])([A-Z]{3}):([^ |\t]),\1\2:\t\3,NA,NA
178,NA,NA,NA,NA,<#0AR#>,2,1,%,0,AR,zero,article,%0AR: zero article,NA,NA,%#%,NA,NA
179,NA,NA,NA,NA,<#NAR#>,1,1,%,N,AR,nonstandard,article,%NAR: nonstandard article,NA,NA,%#%,NA,NA
180,NA,NA,NA,NA,9nst art,1,NA,%,N,AR,nonstandard,article,NA,NA,NA,%#%,NA,NA
181,NA,NA,NA,NA,90  art,1,NA,%,0,AR,zero,article,NA,NA,NA,%#%,NA,NA
182,NA,NA,NA,NA,90 aux,1,NA,%,0,AU,zero,auxiliary,NA,NA,NA,%#%,NA,NA
183,NA,NA,NA,NA,9nst aux,1,NA,%,N,AU,nonstandard,auxiliary,NA,NA,NA,%#%,NA,NA
184,NA,NA,NA,NA,<#NCA#>,1,NA,%,N,CA,nonstandard,case marking,NA,NA,NA,%#%,NA,NA
185,NA,NA,NA,NA,#9nst compar#,1,NA,%,N,CM,nonstandard,comparison,NA,NA,NA,%#%,NA,NA
186,NA,NA,NA,NA,9nst compar,1,NA,%,N,CM,nonstandard,comparison,NA,NA,NA,%#%,NA,NA
187,NA,NA,NA,NA,90 cop,1,NA,%,0,CP,zero,copula,NA,NA,NA,%#%,NA,NA
188,NA,NA,NA,NA,cop is/s,1,NA,%,N,CP,nonstandard,copula,NA,NA,NA,%#%,NA,NA
189,NA,NA,NA,NA,<#REP#>,1,NA,%,R,EP,repair,NA,NA,NA,NA,%#%,NA,NA
190,NA,NA,NA,NA,9nst existential,1,NA,%,N,EX,nonstandard,existential,NA,NA,NA,%#%,NA,NA
191,NA,NA,NA,NA,90 existential,1,NA,%,0,EX,zero,existential,NA,NA,NA,%#%,NA,NA
192,NA,NA,NA,NA,9ns gen,1,NA,%,N,GN,nonstandard,gender,NA,NA,NA,%#%,NA,NA
193,NA,NA,NA,NA,#90 modal?#,1,NA,%,0,MD,zero,modal,NA,NA,NA,%#%,NA,NA
194,NA,NA,NA,NA,90 modal,1,NA,%,0,MD,zero,modal,NA,NA,NA,%#%,NA,NA
195,NA,NA,NA,NA,<#NMO#>,1,1,%,N,MO,nonstandard,morphem,NA,NA,NA,%#%,NA,NA
196,NA,NA,NA,NA,9nst modal,1,NA,%,N,MD,nonstandard,modal,NA,NA,NA,%#%,NA,NA
197,NA,NA,NA,NA,9neg,1,NA,%,N,NN,nonstandard,negation,NA,NA,NA,%#%,NA,NA
198,NA,NA,NA,NA,9wohl/woll,3,NA,%,N,NS,nonstandard,not specified,NA,NA,NA,%#%,NA,NA
199,NA,NA,NA,NA,<#0OB#>,2,1,%,0,OB,zero,object,%0OB: zero object,NA,NA,%#%,NA,NA
200,NA,NA,NA,NA,#com: tape interrupted#,3,NA,%,C,OM,cmnt,tape interrupted,NA,NA,NA,%#%,NA,NA
201,NA,NA,NA,NA,#com: Luecke#,3,NA,%,C,OM,cmnt,gap,NA,NA,NA,%#%,NA,NA
202,NA,NA,NA,NA,com: Luecke,3,NA,%,C,OM,cmnt,gap,NA,NA,NA,%#%,NA,NA
203,NA,NA,NA,NA,#ahmt die Mundform nach#,3,NA,%,C,OM,cmnt,NA,NA,NA,NA,%#%,NA,NA
204,NA,NA,NA,NA,#Bewegung der Hanteln#,3,NA,%,C,OM,cmnt,movement,NA,NA,NA,%#%,NA,NA
205,NA,NA,NA,NA,#die zeigt auf den dicken Mann#,3,NA,%,C,OM,cmnt,showing,NA,NA,NA,%#%,NA,NA
206,NA,NA,NA,NA,#zeigt richtig#,3,NA,%,C,OM,cmnt,showing,NA,NA,NA,%#%,NA,NA
207,NA,NA,NA,NA,#Streicheln#,3,NA,%,C,OM,cmnt,NA,NA,NA,NA,%#%,NA,NA
208,NA,NA,NA,NA,#seufzen#,3,NA,%,C,OM,cmnt,NA,NA,NA,NA,%#%,NA,NA
209,NA,NA,NA,NA,#schuettelt den Kopf#,3,NA,%,C,OM,cmnt,shakes head,NA,NA,NA,%#%,NA,NA
210,NA,NA,NA,NA,9ck Q or S,3,NA,%,C,OM,cmnt,NA,NA,NA,NA,%#%,NA,NA
211,NA,NA,NA,NA,9check tape for speaker,3,NA,%,C,OM,cmnt,chk tape,NA,NA,NA,%#%,NA,NA
212,NA,NA,NA,NA,unklar,3,NA,%,C,OM,cmnt,unclear,NA,NA,NA,%#%,NA,NA
213,NA,NA,NA,NA,unverstaenglich,3,NA,%,C,OM,cmnt,unclear,NA,NA,NA,%#%,NA,NA
214,NA,NA,NA,NA,9doesn't comprehend passive,3,NA,%,C,OM,cmnt,NA,NA,NA,NA,%#%,NA,NA
215,NA,NA,NA,NA,9nst passive,1,NA,%,N,PA,nonstandard,passive,NA,NA,NA,%#%,NA,NA
216,NA,NA,NA,NA,90 predicate,1,NA,%,0,PD,zero,predicate,NA,NA,NA,%#%,NA,NA
217,NA,NA,NA,NA,<#NPE#>,1,1,%,N,PE,nonstandard,person,NA,NA,NA,%#%,NA,NA
218,NA,NA,NA,NA,9nst pers,1,NA,%,N,PE,nonstandard,person,NA,NA,NA,%#%,NA,NA
219,NA,NA,NA,NA,9no pl /num,1,NA,%,0,PN,zero,plural/numeral,NA,NA,NA,%#%,NA,NA
220,NA,NA,NA,NA,<#NPR#>,1,1,%,N,PR,nonstandard,preposition,NA,NA,NA,%#%,NA,NA
221,NA,NA,NA,NA,9poss 0 element,1,NA,%,N,PV,nonstandard,possessive,NA,NA,NA,%#%,NA,NA
222,NA,NA,NA,NA,9poss 0 rel,1,NA,%,N,PV,nonstandard,possessive,NA,NA,NA,%#%,NA,NA
223,NA,NA,NA,NA,9poss 0 cop,1,NA,%,N,PV,nonstandard,possessive,NA,NA,NA,%#%,NA,NA
224,NA,NA,NA,NA,<#NRL#>,1,1,%,N,RL,nonstandard,relative,NA,NA,NA,%#%,NA,NA
225,NA,NA,NA,NA,9rel,1,NA,%,N,RL,nonstandard,relative,NA,NA,NA,%#%,NA,NA
226,NA,NA,NA,NA,9std rel except case,1,NA,%,N,RL,nonstandard,relative,NA,NA,NA,%#%,NA,NA
227,NA,NA,NA,NA,90 refl pro,1,NA,%,0,RP,zero,reflexive pronoun,NA,NA,NA,%#%,NA,NA
228,NA,NA,NA,NA,<#NSM#>,1,1,%,N,SM,nonstandard,semantics,NA,NA,NA,%#%,NA,NA
229,NA,NA,NA,NA,<#NSU#>,1,1,%,N,SU,nonstandard,subject,NA,NA,NA,%#%,NA,NA
230,NA,NA,NA,NA,90  subj,1,NA,%,0,SU,zero,subject,NA,NA,NA,%#%,NA,NA
231,NA,NA,NA,NA,<#NSY#>,1,1,%,N,SY,nonstandard,syntax,NA,NA,NA,%#%,NA,NA
232,NA,NA,NA,NA,9vocab,1,NA,%,N,VC,nonstandard,vocab,NA,NA,NA,%#%,NA,NA
233,NA,NA,NA,NA,<#0VP#>,2,1,%,0,VP,zero,VP,%0VP: zero VP,NA,NA,%#%,NA,NA
234,NA,NA,NA,NA,<#NVP#>,1,1,%,N,VP,nonstandard,VP,NA,NA,NA,%#%,NA,NA
235,NA,NA,NA,NA,9verb,1,NA,%,N,VP,nonstandard,VP,NA,NA,NA,%#%,NA,NA
236,NA,NA,NA,NA,9nst verb form,1,NA,%,N,VP,nonstandard,VP,NA,NA,NA,%#%,NA,NA
237,NA,NA,NA,NA,90 verb,1,NA,%,0,VP,zero,VP,NA,NA,NA,%#%,NA,NA
238,NA,NA,NA,NA,9w o,1,NA,%,N,WO,nonstandard,word order,NA,NA,NA,%#%,NA,NA
239,NA,NA,NA,NA,#9nst.#,3,NA,%,N,NS,nonstandard,not specified,NA,NA,NA,%#%,NA,NA
240,73,73,73,NA,* ,1,1,%,P,AU,pause,NA,%PAU: pause,25,NA, ((...)) ,NA,test3
241,201,NA,NA,head,language of ELL/TUR,6,NA,NA,NA,NA,NA,NA,NA,NA, of (ELL|TUR).+?(:.*),\\2,NA,NA
242,73,73,73,NA,#PAU#,1,1,%,P,AU,pause,NA,%PAU: pause,25,NA, ((...)) ,NA,test3
243,201,NA,NA,trans,double spaces,5,NA,NA,NA,NA,NA,NA,NA,NA,  , ,NA,NA
244,NA,NA,NA,NA,#9nstauch#,1,NA,%,N,NS,nonstandard,not specified,NA,NA,NA,%#%,NA,NA
245,NA,NA,NA,NA,#9unverstaendlich#,3,NA,%,C,OM,cmnt,unclear,NA,NA,NA,%#%,NA,NA
246,NA,NA,NA,NA,#90subj#,2,NA,%,0,SU,zero,subject,NA,NA,NA,%#%,NA,NA
247,NA,NA,NA,NA,#9unklar#,3,NA,%,C,OM,cmnt,unclear,NA,NA,NA,%#%,NA,NA
248,NA,NA,NA,NA,#9misunderstanding#,3,NA,%,C,OM,cmnt,misunderstanding,NA,NA,NA,%#%,NA,NA
249,NA,NA,NA,NA,#9poss#,1,NA,%,N,PV,nonstandard,possessive,NA,NA,NA,%#%,NA,NA
250,NA,NA,NA,NA,#9s#,1,NA,%,N,NS,nonstandard,not specified,NA,NA,NA,%#%,NA,NA
251,NA,NA,NA,NA,#9nstauch#,1,NA,%,N,NS,nonstandard,not specified,NA,NA,NA,%#%,NA,NA
252,NA,NA,NA,NA,#9unverstaendlich#,3,NA,%,C,OM,cmnt,unclear,NA,NA,NA,%#%,NA,NA
253,NA,NA,NA,NA,#90subj#,2,NA,%,0,SU,zero,subject,NA,NA,NA,%#%,NA,NA
254,NA,NA,NA,NA,#9unklar#,3,NA,%,C,OM,cmnt,unclear,NA,NA,NA,%#%,NA,NA
255,NA,NA,NA,NA,#9misunderstanding#,3,NA,%,C,OM,cmnt,misunderstanding,NA,NA,NA,%#%,NA,NA
256,NA,NA,NA,NA,#9poss#,1,NA,%,N,PV,nonstandard,possessive,NA,NA,NA,%#%,NA,NA
257,NA,NA,NA,NA,#9s#,1,NA,%,N,NS,nonstandard,not specified,NA,NA,NA,%#%,NA,NA
261,NA,NA,NA,NA,"9double feminine ,nst@ ?",1,NA,%,N,GN,nonstandard,gender,NA,NA,NA,%#%,NA,NA
262,NA,NA,NA,NA,#9nstgen #,1,NA,%,N,GN,nonstandard,gender,NA,NA,NA,%#%,NA,NA
264,NA,NA,NA,NA,#9nstposs #,1,NA,%,N,PV,nonstandard,possessive,NA,NA,NA,%#%,NA,NA
265,NA,NA,NA,NA,#90 modal ornstconj #,1,NA,%,0,MD,zero,NA,NA,NA,NA,%#%,NA,NA
